PLAYERS,NATIONALITY,TYPE, BASE PRICE ,  PRICE PAID  ,PREVIOUS TEAM,TEAMS
Ben Stokes,Overseas,All-Rounder,"₹ 2,00,00,000",162500000,,Chennai Super Kings
Kyle Jamieson,Overseas,Bowler,"₹ 1,00,00,000",10000000,Royal Challengers Bangalore,Chennai Super Kings
Nishant Sindhu,Indian,All-Rounder,"₹ 20,00,000",6000000,,Chennai Super Kings
Ajinkya Rahane,Indian,Batter,"₹ 50,00,000",5000000,Kolkata Knight Riders,Chennai Super Kings
Bhagath Varma,Indian,All-Rounder,"₹ 20,00,000",2000000,Chennai Super Kings,Chennai Super Kings
Ajay Mandal,Indian,All-Rounder,"₹ 20,00,000",2000000,,Chennai Super Kings
Shaik Rasheed,Indian,Batter,"₹ 20,00,000",2000000,,Chennai Super Kings
A. Rayudu ,Indian,Batter,RETAINED,67500000,Chennai Super Kings,Chennai Super Kings
Deepak Chahar,Indian,Bowler,RETAINED,140000000,Chennai Super Kings,Chennai Super Kings
Devon Conway ,Overseas,Batter,RETAINED,10000000,Chennai Super Kings,Chennai Super Kings
D. Pretorius ,Overseas,All-Rounder,RETAINED,5000000,Chennai Super Kings,Chennai Super Kings
Mahesh Theekshana,Overseas,Bowler,RETAINED,7000000,Chennai Super Kings,Chennai Super Kings
Matheesha Pathirana ,Overseas,Bowler,RETAINED,2000000,Chennai Super Kings,Chennai Super Kings
M. Santner,Overseas,All-Rounder,RETAINED,19000000,Chennai Super Kings,Chennai Super Kings
M. Ali ,Overseas,All-Rounder,RETAINED,80000000,Chennai Super Kings,Chennai Super Kings
MS Dhoni ,Indian,Wicket-Keeper,RETAINED,120000000,Chennai Super Kings,Chennai Super Kings
Mukesh Choudhary ,Indian,Bowler,RETAINED,2000000,Chennai Super Kings,Chennai Super Kings
Prashant Solanki ,Indian,Bowler,RETAINED,12000000,Chennai Super Kings,Chennai Super Kings
Rajvardhan Hangargekar ,Indian,Bowler,RETAINED,15000000,Chennai Super Kings,Chennai Super Kings
Ravindra Jadeja ,Indian,All-Rounder,RETAINED,160000000,Chennai Super Kings,Chennai Super Kings
Ruturaj  Gaikwad ,Indian,Batter,RETAINED,60000000,Chennai Super Kings,Chennai Super Kings
Shivam Dube ,Indian,All-Rounder,RETAINED,40000000,Chennai Super Kings,Chennai Super Kings
Simarjeet Singh ,Indian,Bowler,RETAINED,2000000,Chennai Super Kings,Chennai Super Kings
Subhranshu Senapati ,Indian,Batter,RETAINED,2000000,Chennai Super Kings,Chennai Super Kings
Tushar Deshpande,Indian,Bowler,RETAINED,2000000,Chennai Super Kings,Chennai Super Kings
Mukesh Kumar,Indian,Bowler,"₹ 20,00,000",55000000,,Delhi Capitals
Rilee Rossouw,Overseas,Batter,"₹ 2,00,00,000",46000000,,Delhi Capitals
Manish Pandey,Indian,Batter,"₹ 1,00,00,000",24000000,Lucknow Super Giants,Delhi Capitals
Phil Salt,Overseas,Wicket-Keeper,"₹ 2,00,00,000",20000000,,Delhi Capitals
Ishant Sharma,Indian,Bowler,"₹ 50,00,000",5000000,,Delhi Capitals
Aman Khan ,Indian,Batter,RETAINED,2000000,Delhi Capitals,Delhi Capitals
Anrich Nortje ,Overseas,Bowler,RETAINED,65000000,Delhi Capitals,Delhi Capitals
Axar Patel ,Indian,All-Rounder,RETAINED,120000000,Delhi Capitals,Delhi Capitals
Chetan Sakariya ,Indian,Bowler,RETAINED,42000000,Delhi Capitals,Delhi Capitals
D. Warner ,Overseas,Batter,RETAINED,62500000,Delhi Capitals,Delhi Capitals
K. Nagarkoti,Indian,Bowler,RETAINED,11000000,Delhi Capitals,Delhi Capitals
Kuldeep Yadav ,Indian,Bowler,RETAINED,20000000,Delhi Capitals,Delhi Capitals
Lalit Yadav ,Indian,All-Rounder,RETAINED,6500000,Delhi Capitals,Delhi Capitals
L. Ngidi ,Overseas,Bowler,RETAINED,5000000,Delhi Capitals,Delhi Capitals
M. Marsh ,Overseas,All-Rounder,RETAINED,65000000,Delhi Capitals,Delhi Capitals
M. Rahman ,Overseas,Bowler,RETAINED,20000000,Delhi Capitals,Delhi Capitals
Pravin Dubey ,Indian,Bowler,RETAINED,5000000,Delhi Capitals,Delhi Capitals
Prithvi Shaw ,Indian,Batter,RETAINED,80000000,Delhi Capitals,Delhi Capitals
Ripal Patel ,Indian,Batter,RETAINED,2000000,Delhi Capitals,Delhi Capitals
Rishabh Pant ,Indian,Wicket-Keeper,RETAINED,160000000,Delhi Capitals,Delhi Capitals
Rovman Powell ,Overseas,Batter,RETAINED,28000000,Delhi Capitals,Delhi Capitals
Sarfaraz Khan ,Indian,Batter,RETAINED,2000000,Delhi Capitals,Delhi Capitals
Syed Khaleel Ahmed ,Indian,Bowler,RETAINED,52500000,Delhi Capitals,Delhi Capitals
Vicky Ostwal ,Indian,Bowler,RETAINED,2000000,Delhi Capitals,Delhi Capitals
Yash Dhull ,Indian,Batter,RETAINED,5000000,Delhi Capitals,Delhi Capitals
Shivam Mavi,Indian,Bowler,"₹ 40,00,000",60000000,Kolkata Knight Riders,Gujarat Titans
Joshua Little,Overseas,Bowler,"₹ 50,00,000",44000000,,Gujarat Titans
Kane Williamson,Overseas,Batter,"₹ 2,00,00,000",20000000,Sunrisers Hyderabad,Gujarat Titans
K.S. Bharat,Indian,Wicket-Keeper,"₹ 20,00,000",12000000,Delhi Capitals,Gujarat Titans
Mohit Sharma,Indian,Bowler,"₹ 50,00,000",5000000,,Gujarat Titans
Odean Smith,Overseas,All-Rounder,"₹ 50,00,000",5000000,Punjab Kings,Gujarat Titans
Urvil Patel,Indian,Wicket-Keeper,"₹ 20,00,000",2000000,,Gujarat Titans
Abhinav Sadarangani,Indian,Batter,RETAINED,26000000,Gujarat Titans,Gujarat Titans
